source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
dz:wilaya:adrar,DZ,wilaya,Adrar,,01,,1,,
dz:wilaya:chlef,DZ,wilaya,Chlef,,02,,1,,
dz:wilaya:laghouat,DZ,wilaya,Laghouat,,03,,1,,
dz:wilaya:oum-el-bouaghi,DZ,wilaya,Oum El Bouaghi,,04,,1,,
dz:wilaya:batna,DZ,wilaya,Batna,,05,,1,,
dz:wilaya:bejaia,DZ,wilaya,Béjaïa,,06,,1,,
dz:wilaya:biskra,DZ,wilaya,Biskra,,07,,1,,
dz:wilaya:bechar,DZ,wilaya,Béchar,,08,,1,,
dz:wilaya:blida,DZ,wilaya,Blida,,09,,1,,
dz:wilaya:bouira,DZ,wilaya,Bouïra,,10,,1,,
dz:wilaya:tamanghasset,DZ,wilaya,Tamanghasset,,11,,1,,
dz:wilaya:tebessa,DZ,wilaya,Tébessa,,12,,1,,
dz:wilaya:tlemcen,DZ,wilaya,Tlemcen,,13,,1,,
dz:wilaya:tiaret,DZ,wilaya,Tiaret,,14,,1,,
dz:wilaya:tizi-ouzou,DZ,wilaya,Tizi Ouzou,,15,,1,,
dz:wilaya:alger,DZ,wilaya,Alger,,16,,1,,
dz:wilaya:djelfa,DZ,wilaya,Djelfa,,17,,1,,
dz:wilaya:jijel,DZ,wilaya,Jijel,,18,,1,,
dz:wilaya:setif,DZ,wilaya,Sétif,,19,,1,,
dz:wilaya:saida,DZ,wilaya,Saïda,,20,,1,,
dz:wilaya:skikda,DZ,wilaya,Skikda,,21,,1,,
dz:wilaya:sidi-bel-abbes,DZ,wilaya,Sidi Bel Abbès,,22,,1,,
dz:wilaya:annaba,DZ,wilaya,Annaba,,23,,1,,
dz:wilaya:guelma,DZ,wilaya,Guelma,,24,,1,,
dz:wilaya:constantine,DZ,wilaya,Constantine,,25,,1,,
dz:wilaya:medea,DZ,wilaya,Médéa,,26,,1,,
dz:wilaya:mostaganem,DZ,wilaya,Mostaganem,,27,,1,,
dz:wilaya:m-sila,DZ,wilaya,M'Sila,,28,,1,,
dz:wilaya:mascara,DZ,wilaya,Mascara,,29,,1,,
dz:wilaya:ouargla,DZ,wilaya,Ouargla,,30,,1,,
dz:wilaya:oran,DZ,wilaya,Oran,,31,,1,,
dz:wilaya:el-bayadh,DZ,wilaya,El Bayadh,,32,,1,,
dz:wilaya:illizi,DZ,wilaya,Illizi,,33,,1,,
dz:wilaya:bordj-bou-arreridj,DZ,wilaya,Bordj Bou Arréridj,,34,,1,,
dz:wilaya:boumerdes,DZ,wilaya,Boumerdès,,35,,1,,
dz:wilaya:el-tarf,DZ,wilaya,El Tarf,,36,,1,,
dz:wilaya:tindouf,DZ,wilaya,Tindouf,,37,,1,,
dz:wilaya:tissemsilt,DZ,wilaya,Tissemsilt,,38,,1,,
dz:wilaya:el-oued,DZ,wilaya,El Oued,,39,,1,,
dz:wilaya:khenchela,DZ,wilaya,Khenchela,,40,,1,,
dz:wilaya:souk-ahras,DZ,wilaya,Souk Ahras,,41,,1,,
dz:wilaya:tipasa,DZ,wilaya,Tipasa,,42,,1,,
dz:wilaya:mila,DZ,wilaya,Mila,,43,,1,,
dz:wilaya:ain-defla,DZ,wilaya,Aïn Defla,,44,,1,,
dz:wilaya:naama,DZ,wilaya,Naama,,45,,1,,
dz:wilaya:ain-temouchent,DZ,wilaya,Aïn Témouchent,,46,,1,,
dz:wilaya:ghardaia,DZ,wilaya,Ghardaïa,,47,,1,,
dz:wilaya:relizane,DZ,wilaya,Relizane,,48,,1,,
dz:wilaya:timimoun,DZ,wilaya,Timimoun,,49,,1,,
dz:wilaya:bordj-badji-mokhtar,DZ,wilaya,Bordj Badji Mokhtar,,50,,1,,
dz:wilaya:ouled-djellal,DZ,wilaya,Ouled Djellal,,51,,1,,
dz:wilaya:beni-abbes,DZ,wilaya,Béni Abbès,,52,,1,,
dz:wilaya:in-salah,DZ,wilaya,In Salah,,53,,1,,
dz:wilaya:in-guezzam,DZ,wilaya,In Guezzam,,54,,1,,
