source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
lv:municipality:adazi,LV,municipality,Ādaži,,011,,1,,
lv:municipality:aizkraukle,LV,municipality,Aizkraukle,,002,,1,,
lv:municipality:aluksne,LV,municipality,Alūksne,,007,,1,,
lv:municipality:augsdaugava,LV,municipality,Augšdaugava,,111,,1,,
lv:municipality:balvi,LV,municipality,Balvi,,015,,1,,
lv:municipality:bauska,LV,municipality,Bauska,,016,,1,,
lv:municipality:cesis,LV,municipality,Cēsis,,022,,1,,
lv:state_city:daugavpils,LV,state_city,Daugavpils,,DGV,,1,,
lv:municipality:dienvidkurzemes,LV,municipality,Dienvidkurzemes,,112,,1,,
lv:municipality:dobele,LV,municipality,Dobele,,026,,1,,
lv:municipality:gulbene,LV,municipality,Gulbene,,033,,1,,
lv:municipality:jekabpils,LV,municipality,Jēkabpils,,042,,1,,
lv:municipality:jelgava,LV,municipality,Jelgava,,041,,1,,
lv:state_city:jelgava,LV,state_city,Jelgava,,JEL,,1,,
lv:state_city:jurmala,LV,state_city,Jūrmala,,JUR,,1,,
lv:municipality:kekava,LV,municipality,Ķekava,,052,,1,,
lv:municipality:kraslava,LV,municipality,Krāslava,,047,,1,,
lv:municipality:kuldiga,LV,municipality,Kuldīga,,050,,1,,
lv:state_city:liepaja,LV,state_city,Liepāja,,LPX,,1,,
lv:municipality:limbazi,LV,municipality,Limbaži,,054,,1,,
lv:municipality:livani,LV,municipality,Līvāni,,056,,1,,
lv:municipality:ludza,LV,municipality,Ludza,,058,,1,,
lv:municipality:madona,LV,municipality,Madona,,059,,1,,
lv:municipality:marupe,LV,municipality,Mārupe,,062,,1,,
lv:municipality:ogre,LV,municipality,Ogre,,067,,1,,
lv:municipality:olaine,LV,municipality,Olaine,,068,,1,,
lv:municipality:preili,LV,municipality,Preiļi,,073,,1,,
lv:state_city:rezekne,LV,state_city,Rēzekne,,REZ,,1,,
lv:municipality:rezekne,LV,municipality,Rēzekne,,077,,1,,
lv:state_city:riga,LV,state_city,Riga,,RIX,,1,,
lv:municipality:ropazi,LV,municipality,Ropaži,,080,,1,,
lv:municipality:salaspils,LV,municipality,Salaspils,,087,,1,,
lv:municipality:saldus,LV,municipality,Saldus,,088,,1,,
lv:municipality:saulkrasti,LV,municipality,Saulkrasti,,089,,1,,
lv:municipality:sigulda,LV,municipality,Sigulda,,091,,1,,
lv:municipality:smiltene,LV,municipality,Smiltene,,094,,1,,
lv:municipality:talsi,LV,municipality,Talsi,,097,,1,,
lv:municipality:tukums,LV,municipality,Tukums,,099,,1,,
lv:municipality:valka,LV,municipality,Valka,,101,,1,,
lv:municipality:valmiera,LV,municipality,Valmiera,,113,,1,,
lv:municipality:varaklani,LV,municipality,Varakļāni,,102,,1,,
lv:state_city:ventspils,LV,state_city,Ventspils,,VEN,,1,,
lv:municipality:ventspils,LV,municipality,Ventspils,,106,,1,,
