source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
rs:city:belgrade,RS,city,Belgrade,,00,,1,,
rs:district:bor,RS,district,Bor,,14,,1,,
rs:district:branicevo,RS,district,Braničevo,,11,,1,,
rs:district:central-banat,RS,district,Central Banat,,02,,1,,
rs:district:jablanica,RS,district,Jablanica,,23,,1,,
rs:district:kolubara,RS,district,Kolubara,,09,,1,,
rs:district:kosovo,RS,district,Kosovo,,25,,1,,
rs:province:kosovo-metohija,RS,province,Kosovo-Metohija,,KM,,1,,
rs:district:kosovo-pomoravlje,RS,district,Kosovo-Pomoravlje,,29,,1,,
rs:district:kosovska-mitrovica,RS,district,Kosovska Mitrovica,,28,,1,,
rs:district:macva,RS,district,Mačva,,08,,1,,
rs:district:moravica,RS,district,Moravica,,17,,1,,
rs:district:nisava,RS,district,Nišava,,20,,1,,
rs:district:north-backa,RS,district,North Bačka,,01,,1,,
rs:district:north-banat,RS,district,North Banat,,03,,1,,
rs:district:pcinja,RS,district,Pčinja,,24,,1,,
rs:district:pec,RS,district,Peć,,26,,1,,
rs:district:pirot,RS,district,Pirot,,22,,1,,
rs:district:podunavlje,RS,district,Podunavlje,,10,,1,,
rs:district:pomoravlje,RS,district,Pomoravlje,,13,,1,,
rs:district:prizren,RS,district,Prizren,,27,,1,,
rs:district:rasina,RS,district,Rasina,,19,,1,,
rs:district:raska,RS,district,Raška,,18,,1,,
rs:district:south-backa,RS,district,South Bačka,,06,,1,,
rs:district:south-banat,RS,district,South Banat,,04,,1,,
rs:district:srem,RS,district,Srem,,07,,1,,
rs:district:sumadija,RS,district,Šumadija,,12,,1,,
rs:district:toplica,RS,district,Toplica,,21,,1,,
rs:province:vojvodina,RS,province,Vojvodina,,VO,,1,,
rs:district:west-backa,RS,district,West Bačka,,05,,1,,
rs:district:zajecar,RS,district,Zaječar,,15,,1,,
rs:district:zlatibor,RS,district,Zlatibor,,16,,1,,
rs:municipality:kladovo,RS,municipality,Kladovo,,,rs:district:bor,2,,
rs:municipality:majdanpek,RS,municipality,Majdanpek,,,rs:district:bor,2,,
rs:municipality:negotin,RS,municipality,Negotin,,,rs:district:bor,2,,
rs:municipality:veliko-gradiste,RS,municipality,Veliko Gradište,,,rs:district:branicevo,2,,
rs:municipality:golubac,RS,municipality,Golubac,,,rs:district:branicevo,2,,
rs:municipality:malo-crnice,RS,municipality,Malo Crniće,,,rs:district:branicevo,2,,
rs:municipality:zabari,RS,municipality,Žabari,,,rs:district:branicevo,2,,
rs:municipality:petrovac-na-mlavi,RS,municipality,Petrovac na Mlavi,,,rs:district:branicevo,2,,
rs:municipality:kucevo,RS,municipality,Kučevo,,,rs:district:branicevo,2,,
rs:municipality:zagubica,RS,municipality,Žagubica,,,rs:district:branicevo,2,,
rs:municipality:bojnik,RS,municipality,Bojnik,,,rs:district:jablanica,2,,
rs:municipality:lebane,RS,municipality,Lebane,,,rs:district:jablanica,2,,
rs:municipality:medveda,RS,municipality,Medveđa,,,rs:district:jablanica,2,,
rs:municipality:vlasotince,RS,municipality,Vlasotince,,,rs:district:jablanica,2,,
rs:municipality:crna-trava,RS,municipality,Crna Trava,,,rs:district:jablanica,2,,
rs:municipality:osecina,RS,municipality,Osečina,,,rs:district:kolubara,2,,
rs:municipality:ub,RS,municipality,Ub,,,rs:district:kolubara,2,,
rs:municipality:lajkovac,RS,municipality,Lajkovac,,,rs:district:kolubara,2,,
rs:municipality:mionica,RS,municipality,Mionica,,,rs:district:kolubara,2,,
rs:municipality:ljig,RS,municipality,Ljig,,,rs:district:kolubara,2,,
rs:municipality:bogatic,RS,municipality,Bogatić,,,rs:district:macva,2,,
rs:municipality:vladimirci,RS,municipality,Vladimirci,,,rs:district:macva,2,,
rs:municipality:koceljeva,RS,municipality,Koceljeva,,,rs:district:macva,2,,
rs:municipality:mali-zvornik,RS,municipality,Mali Zvornik,,,rs:district:macva,2,,
rs:municipality:krupanj,RS,municipality,Krupanj,,,rs:district:macva,2,,
rs:municipality:ljubovija,RS,municipality,Ljubovija,,,rs:district:macva,2,,
rs:municipality:gornji-milanovac,RS,municipality,Gornji Milanovac,,,rs:district:moravica,2,,
rs:municipality:lucani,RS,municipality,Lučani,,,rs:district:moravica,2,,
rs:municipality:ivanjica,RS,municipality,Ivanjica,,,rs:district:moravica,2,,
rs:municipality:aleksinac,RS,municipality,Aleksinac,,,rs:district:nisava,2,,
rs:municipality:svrljig,RS,municipality,Svrljig,,,rs:district:nisava,2,,
rs:municipality:merosina,RS,municipality,Merošina,,,rs:district:nisava,2,,
rs:municipality:razanj,RS,municipality,Ražanj,,,rs:district:nisava,2,,
rs:municipality:doljevac,RS,municipality,Doljevac,,,rs:district:nisava,2,,
rs:municipality:gadzin-han,RS,municipality,Gadžin Han,,,rs:district:nisava,2,,
rs:municipality:vladicin-han,RS,municipality,Vladičin Han,,,rs:district:pcinja,2,,
