source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
hu:county:bacs-kiskun,HU,county,Bács-Kiskun,,BK,,1,,
hu:county:baranya,HU,county,Baranya,,BA,,1,,
hu:county:bekes,HU,county,Békés,,BE,,1,,
hu:city_with_county_rights:bekescsaba,HU,city_with_county_rights,Békéscsaba,,BC,,1,,
hu:county:borsod-abauj-zemplen,HU,county,Borsod-Abaúj-Zemplén,,BZ,,1,,
hu:capital_city:budapest,HU,capital_city,Budapest,,BU,,1,,
hu:county:csongrad-csanad-county,HU,county,Csongrád-Csanád County,,CS,,1,,
hu:city_with_county_rights:debrecen,HU,city_with_county_rights,Debrecen,,DE,,1,,
hu:city_with_county_rights:dunaujvaros,HU,city_with_county_rights,Dunaújváros,,DU,,1,,
hu:city_with_county_rights:eger,HU,city_with_county_rights,Eger,,EG,,1,,
hu:city_with_county_rights:erd,HU,city_with_county_rights,Érd,,ER,,1,,
hu:county:fejer-county,HU,county,Fejér County,,FE,,1,,
hu:city_with_county_rights:gyor,HU,city_with_county_rights,Győr,,GY,,1,,
hu:county:gyor-moson-sopron-county,HU,county,Győr-Moson-Sopron County,,GS,,1,,
hu:county:hajdu-bihar-county,HU,county,Hajdú-Bihar County,,HB,,1,,
hu:county:heves-county,HU,county,Heves County,,HE,,1,,
hu:city_with_county_rights:hodmezovasarhely,HU,city_with_county_rights,Hódmezővásárhely,,HV,,1,,
hu:county:jasz-nagykun-szolnok-county,HU,county,Jász-Nagykun-Szolnok County,,JN,,1,,
hu:city_with_county_rights:kaposvar,HU,city_with_county_rights,Kaposvár,,KV,,1,,
hu:city_with_county_rights:kecskemet,HU,city_with_county_rights,Kecskemét,,KM,,1,,
hu:county:komarom-esztergom,HU,county,Komárom-Esztergom,,KE,,1,,
hu:city_with_county_rights:miskolc,HU,city_with_county_rights,Miskolc,,MI,,1,,
hu:city_with_county_rights:nagykanizsa,HU,city_with_county_rights,Nagykanizsa,,NK,,1,,
hu:county:nograd-county,HU,county,Nógrád County,,NO,,1,,
hu:city_with_county_rights:nyiregyhaza,HU,city_with_county_rights,Nyíregyháza,,NY,,1,,
