source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
pg:autonomous_region:bougainville,PG,autonomous_region,Bougainville,,NSB,,1,,
pg:province:central,PG,province,Central,,CPM,,1,,
pg:province:chimbu,PG,province,Chimbu,,CPK,,1,,
pg:province:east-new-britain,PG,province,East New Britain,,EBR,,1,,
pg:province:east-sepik,PG,province,East Sepik,,ESW,,1,,
pg:province:eastern-highlands,PG,province,Eastern Highlands,,EHG,,1,,
pg:province:enga,PG,province,Enga,,EPW,,1,,
pg:province:gulf,PG,province,Gulf,,GPK,,1,,
pg:province:hela,PG,province,Hela,,HLA,,1,,
pg:province:jiwaka,PG,province,Jiwaka,,JWK,,1,,
pg:province:madang,PG,province,Madang,,MPM,,1,,
pg:province:manus,PG,province,Manus,,MRL,,1,,
pg:province:milne-bay,PG,province,Milne Bay,,MBA,,1,,
pg:province:morobe,PG,province,Morobe,,MPL,,1,,
pg:province:new-ireland,PG,province,New Ireland,,NIK,,1,,
pg:province:oro,PG,province,Oro,,NPP,,1,,
pg:district:port-moresby,PG,district,Port Moresby,,NCD,,1,,
pg:province:sandaun,PG,province,Sandaun,,SAN,,1,,
pg:province:southern-highlands,PG,province,Southern Highlands,,SHM,,1,,
pg:province:west-new-britain,PG,province,West New Britain,,WBK,,1,,
pg:province:western,PG,province,Western,,WPD,,1,,
pg:province:western-highlands,PG,province,Western Highlands,,WHM,,1,,
pg:district:chuave,PG,district,Chuave,,,pg:province:chimbu,2,,
pg:district:gumine,PG,district,Gumine,,,pg:province:chimbu,2,,
pg:district:karimui-nomane,PG,district,Karimui-Nomane,,,pg:province:chimbu,2,,
pg:district:kerowagi,PG,district,Kerowagi,,,pg:province:chimbu,2,,
pg:district:kundiawa-gembogl,PG,district,Kundiawa-Gembogl,,,pg:province:chimbu,2,,
pg:district:sina-sina-yonggomugl,PG,district,Sina Sina-Yonggomugl,,,pg:province:chimbu,2,,
pg:district:daulo,PG,district,Daulo,,,pg:province:eastern-highlands,2,,
pg:district:goroka,PG,district,Goroka,,,pg:province:eastern-highlands,2,,
pg:district:henganofi,PG,district,Henganofi,,,pg:province:eastern-highlands,2,,
