source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
jp:prefecture:hokkaido,JP,prefecture,Hokkaido,,01,,1,,
jp:prefecture:aomori,JP,prefecture,Aomori,,02,,1,,
jp:prefecture:iwate,JP,prefecture,Iwate,,03,,1,,
jp:prefecture:miyagi,JP,prefecture,Miyagi,,04,,1,,
jp:prefecture:akita,JP,prefecture,Akita,,05,,1,,
jp:prefecture:yamagata,JP,prefecture,Yamagata,,06,,1,,
jp:prefecture:fukushima,JP,prefecture,Fukushima,,07,,1,,
jp:prefecture:ibaraki,JP,prefecture,Ibaraki,,08,,1,,
jp:prefecture:tochigi,JP,prefecture,Tochigi,,09,,1,,
jp:prefecture:gunma,JP,prefecture,Gunma,,10,,1,,
jp:prefecture:saitama,JP,prefecture,Saitama,,11,,1,,
jp:prefecture:chiba,JP,prefecture,Chiba,,12,,1,,
jp:prefecture:tokyo,JP,prefecture,Tokyo,,13,,1,,
jp:prefecture:kanagawa,JP,prefecture,Kanagawa,,14,,1,,
jp:prefecture:niigata,JP,prefecture,Niigata,,15,,1,,
jp:prefecture:toyama,JP,prefecture,Toyama,,16,,1,,
jp:prefecture:ishikawa,JP,prefecture,Ishikawa,,17,,1,,
jp:prefecture:fukui,JP,prefecture,Fukui,,18,,1,,
jp:prefecture:yamanashi,JP,prefecture,Yamanashi,,19,,1,,
jp:prefecture:nagano,JP,prefecture,Nagano,,20,,1,,
jp:prefecture:gifu,JP,prefecture,Gifu,,21,,1,,
jp:prefecture:shizuoka,JP,prefecture,Shizuoka,,22,,1,,
jp:prefecture:aichi,JP,prefecture,Aichi,,23,,1,,
jp:prefecture:mie,JP,prefecture,Mie,,24,,1,,
jp:prefecture:shiga,JP,prefecture,Shiga,,25,,1,,
jp:prefecture:kyoto,JP,prefecture,Kyoto,,26,,1,,
jp:prefecture:osaka,JP,prefecture,Osaka,,27,,1,,
jp:prefecture:hyogo,JP,prefecture,Hyogo,,28,,1,,
jp:prefecture:nara,JP,prefecture,Nara,,29,,1,,
jp:prefecture:wakayama,JP,prefecture,Wakayama,,30,,1,,
jp:prefecture:tottori,JP,prefecture,Tottori,,31,,1,,
jp:prefecture:shimane,JP,prefecture,Shimane,,32,,1,,
jp:prefecture:okayama,JP,prefecture,Okayama,,33,,1,,
jp:prefecture:hiroshima,JP,prefecture,Hiroshima,,34,,1,,
jp:prefecture:yamaguchi,JP,prefecture,Yamaguchi,,35,,1,,
jp:prefecture:tokushima,JP,prefecture,Tokushima,,36,,1,,
jp:prefecture:kagawa,JP,prefecture,Kagawa,,37,,1,,
jp:prefecture:ehime,JP,prefecture,Ehime,,38,,1,,
jp:prefecture:kochi,JP,prefecture,Kochi,,39,,1,,
jp:prefecture:fukuoka,JP,prefecture,Fukuoka,,40,,1,,
jp:prefecture:saga,JP,prefecture,Saga,,41,,1,,
jp:prefecture:nagasaki,JP,prefecture,Nagasaki,,42,,1,,
jp:prefecture:kumamoto,JP,prefecture,Kumamoto,,43,,1,,
jp:prefecture:oita,JP,prefecture,Oita,,44,,1,,
jp:prefecture:miyazaki,JP,prefecture,Miyazaki,,45,,1,,
jp:prefecture:kagoshima,JP,prefecture,Kagoshima,,46,,1,,
jp:prefecture:okinawa,JP,prefecture,Okinawa,,47,,1,,
