source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
tz:region:arusha,TZ,region,Arusha,,01,,1,,
tz:region:dar-es-salaam,TZ,region,Dar es Salaam,,02,,1,,
tz:region:dodoma,TZ,region,Dodoma,,03,,1,,
tz:region:iringa,TZ,region,Iringa,,04,,1,,
tz:region:kagera,TZ,region,Kagera,,05,,1,,
tz:region:pemba-north,TZ,region,Pemba North,,06,,1,,
tz:region:zanzibar-north,TZ,region,Zanzibar North,,07,,1,,
tz:region:kigoma,TZ,region,Kigoma,,08,,1,,
tz:region:kilimanjaro,TZ,region,Kilimanjaro,,09,,1,,
tz:region:pemba-south,TZ,region,Pemba South,,10,,1,,
tz:region:zanzibar-south,TZ,region,Zanzibar South,,11,,1,,
tz:region:lindi,TZ,region,Lindi,,12,,1,,
tz:region:mara,TZ,region,Mara,,13,,1,,
tz:region:mbeya,TZ,region,Mbeya,,14,,1,,
tz:region:zanzibar-west,TZ,region,Zanzibar West,,15,,1,,
tz:region:morogoro,TZ,region,Morogoro,,16,,1,,
tz:region:mtwara,TZ,region,Mtwara,,17,,1,,
tz:region:mwanza,TZ,region,Mwanza,,18,,1,,
tz:region:pwani,TZ,region,Pwani,,19,,1,,
tz:region:rukwa,TZ,region,Rukwa,,20,,1,,
tz:region:ruvuma,TZ,region,Ruvuma,,21,,1,,
tz:region:shinyanga,TZ,region,Shinyanga,,22,,1,,
tz:region:singida,TZ,region,Singida,,23,,1,,
tz:region:tabora,TZ,region,Tabora,,24,,1,,
tz:region:tanga,TZ,region,Tanga,,25,,1,,
tz:region:manyara,TZ,region,Manyara,,26,,1,,
tz:region:geita,TZ,region,Geita,,27,,1,,
tz:region:katavi,TZ,region,Katavi,,28,,1,,
tz:region:njombe,TZ,region,Njombe,,29,,1,,
tz:region:simiyu,TZ,region,Simiyu,,30,,1,,
tz:region:songwe,TZ,region,Songwe,,31,,1,,
tz:district:dodoma-city,TZ,district,Dodoma City,,,tz:region:dodoma,2,,
tz:district:kondoa-urban,TZ,district,Kondoa Urban,,,tz:region:dodoma,2,,
tz:district:bahi,TZ,district,Bahi,,,tz:region:dodoma,2,,
tz:district:chamwino,TZ,district,Chamwino,,,tz:region:dodoma,2,,
tz:district:chemba,TZ,district,Chemba,,,tz:region:dodoma,2,,
tz:district:kondoa,TZ,district,Kondoa,,,tz:region:dodoma,2,,
tz:district:kongwa,TZ,district,Kongwa,,,tz:region:dodoma,2,,
tz:district:mpwapwa,TZ,district,Mpwapwa,,,tz:region:dodoma,2,,
tz:district:singida-urban,TZ,district,Singida Urban,,,tz:region:singida,2,,
tz:district:ikungi,TZ,district,Ikungi,,,tz:region:singida,2,,
tz:district:iramba,TZ,district,Iramba,,,tz:region:singida,2,,
tz:district:itigi,TZ,district,Itigi,,,tz:region:singida,2,,
tz:district:manyoni,TZ,district,Manyoni,,,tz:region:singida,2,,
tz:district:mkalama,TZ,district,Mkalama,,,tz:region:singida,2,,
tz:district:singida,TZ,district,Singida,,,tz:region:singida,2,,
tz:district:tabora-urban,TZ,district,Tabora Urban,,,tz:region:tabora,2,,
tz:district:nzega-urban,TZ,district,Nzega Urban,,,tz:region:tabora,2,,
