source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
de:state:brandenburg,DE,state,Brandenburg,,BB,,1,,
de:state:berlin,DE,state,Berlin,,BE,,1,,
de:state:baden-wurttemberg,DE,state,Baden-Württemberg,,BW,,1,,
de:state:bayern,DE,state,Bayern,,BY,,1,,
de:state:bremen,DE,state,Bremen,,HB,,1,,
de:state:hessen,DE,state,Hessen,,HE,,1,,
de:state:hamburg,DE,state,Hamburg,,HH,,1,,
de:state:mecklenburg-vorpommern,DE,state,Mecklenburg-Vorpommern,,MV,,1,,
de:state:niedersachsen,DE,state,Niedersachsen,,NI,,1,,
de:state:nordrhein-westfalen,DE,state,Nordrhein-Westfalen,,NW,,1,,
de:state:rheinland-pfalz,DE,state,Rheinland-Pfalz,,RP,,1,,
de:state:schleswig-holstein,DE,state,Schleswig-Holstein,,SH,,1,,
de:state:saarland,DE,state,Saarland,,SL,,1,,
de:state:sachsen,DE,state,Sachsen,,SN,,1,,
de:state:sachsen-anhalt,DE,state,Sachsen-Anhalt,,ST,,1,,
de:state:thuringen,DE,state,Thüringen,,TH,,1,,
de:district:aachen,DE,district,Aachen,,,de:state:nordrhein-westfalen,2,,
de:district:ahrweiler,DE,district,Ahrweiler,,,de:state:rheinland-pfalz,2,,
de:district:aichach-friedberg,DE,district,Aichach-Friedberg,,,de:state:bayern,2,,
de:district:alb-donau-kreis,DE,district,Alb-Donau-Kreis,,,de:state:baden-wurttemberg,2,,
de:district:altenburger-land,DE,district,Altenburger Land,,,de:state:thuringen,2,,
de:district:altenkirchen,DE,district,Altenkirchen,,,de:state:rheinland-pfalz,2,,
de:district:altmarkkreis-salzwedel,DE,district,Altmarkkreis Salzwedel,,,de:state:sachsen-anhalt,2,,
de:district:altotting,DE,district,Altötting,,,de:state:bayern,2,,
de:district:alzey-worms,DE,district,Alzey-Worms,,,de:state:rheinland-pfalz,2,,
de:district:amberg,DE,district,Amberg,,,de:state:bayern,2,,
de:district:amberg-sulzbach,DE,district,Amberg-Sulzbach,,,de:state:bayern,2,,
de:district:ammerland,DE,district,Ammerland,,,de:state:niedersachsen,2,,
de:district:anhalt-bitterfeld,DE,district,Anhalt-Bitterfeld,,,de:state:sachsen-anhalt,2,,
de:district:ansbach,DE,district,Ansbach,,,de:state:bayern,2,,
de:district:bayern:ansbach,DE,district,Ansbach,,,de:state:bayern,2,,
