source_id,country_code,type,name,native_name,code,parent_source_id,level,latitude,longitude
eg:governorate:alexandria,EG,governorate,Alexandria,,ALX,,1,,
eg:governorate:aswan,EG,governorate,Aswan,,ASN,,1,,
eg:governorate:asyut,EG,governorate,Asyut,,AST,,1,,
eg:governorate:red-sea,EG,governorate,Red Sea,,BA,,1,,
eg:governorate:beheira,EG,governorate,Beheira,,BH,,1,,
eg:governorate:beni-suef,EG,governorate,Beni Suef,,BNS,,1,,
eg:governorate:cairo,EG,governorate,Cairo,,C,,1,,
eg:governorate:dakahlia,EG,governorate,Dakahlia,,DK,,1,,
eg:governorate:damietta,EG,governorate,Damietta,,DT,,1,,
eg:governorate:faiyum,EG,governorate,Faiyum,,FYM,,1,,
eg:governorate:gharbia,EG,governorate,Gharbia,,GH,,1,,
eg:governorate:giza,EG,governorate,Giza,,GZ,,1,,
eg:governorate:ismailia,EG,governorate,Ismailia,,IS,,1,,
eg:governorate:south-sinai,EG,governorate,South Sinai,,JS,,1,,
eg:governorate:qalyubia,EG,governorate,Qalyubia,,KB,,1,,
eg:governorate:kafr-el-sheikh,EG,governorate,Kafr El-Sheikh,,KFS,,1,,
eg:governorate:qena,EG,governorate,Qena,,KN,,1,,
eg:governorate:luxor,EG,governorate,Luxor,,LX,,1,,
eg:governorate:minya,EG,governorate,Minya,,MN,,1,,
eg:governorate:monufia,EG,governorate,Monufia,,MNF,,1,,
eg:governorate:matrouh,EG,governorate,Matrouh,,MT,,1,,
eg:governorate:port-said,EG,governorate,Port Said,,PTS,,1,,
eg:governorate:sohag,EG,governorate,Sohag,,SHG,,1,,
eg:governorate:sharqia,EG,governorate,Sharqia,,SHR,,1,,
eg:governorate:north-sinai,EG,governorate,North Sinai,,SIN,,1,,
eg:governorate:suez,EG,governorate,Suez,,SUZ,,1,,
eg:governorate:new-valley,EG,governorate,New Valley,,WAD,,1,,
eg:district:zemam-out,EG,district,Zemam Out,,EG0100,eg:governorate:cairo,2,,
eg:district:al-tibbin,EG,district,Al Tibbin,,EG0101,eg:governorate:cairo,2,,
eg:district:hilwan,EG,district,Hilwan,,EG0102,eg:governorate:cairo,2,,
eg:district:15-mayu,EG,district,15 Mayu,,EG0103,eg:governorate:cairo,2,,
eg:district:maadi,EG,district,Maadi,,EG0104,eg:governorate:cairo,2,,
eg:district:tura,EG,district,Tura,,EG0105,eg:governorate:cairo,2,,
eg:district:misr-al-qadima,EG,district,Misr Al-Qadima,,EG0106,eg:governorate:cairo,2,,
eg:district:sayyida-zainab,EG,district,Sayyida Zainab,,EG0107,eg:governorate:cairo,2,,
eg:district:al-khalifa,EG,district,Al Khalifa,,EG0108,eg:governorate:cairo,2,,
